# Time-averaged data for fix rdf_CO_avg
# TimeStep Number-of-rows
# Row c_rdf_CO[1] c_rdf_CO[2] c_rdf_CO[3]
610000 150
99 8.08304 0.848295 44.6828
100 8.1651 0.837597 46.5333
101 8.24716 0.875475 48.5067
102 8.32923 0.87378 50.5156
103 8.41129 0.849281 52.5067
104 8.49335 0.847972 54.5339
105 8.57541 0.859157 56.6278
106 8.65747 0.89539 58.8517
107 8.73953 0.900529 61.1311
108 8.82159 0.883195 63.4089
109 8.90365 0.905255 65.7872
110 8.98572 0.885215 68.1556
111 9.06778 0.913355 70.6444
112 9.14984 0.912103 73.175
113 9.2319 0.913009 75.7533
114 9.31396 0.9111 78.3728
115 9.39602 0.901434 81.01
116 9.47808 0.907884 83.7128
117 9.56015 0.919495 86.4978
118 9.64221 0.916119 89.3206
119 9.72427 0.90249 92.1489
120 9.80633 0.897548 95.0094
121 9.88839 0.896175 97.9133
122 9.97045 0.90521 100.896
123 10.0525 0.913279 103.954
124 10.1346 0.89154 106.988
125 10.2166 0.887004 110.057
126 10.2987 0.911976 113.262
127 10.3808 0.883332 116.417
128 10.4628 0.917181 119.744
129 10.5449 0.911659 123.103
130 10.6269 0.913686 126.523
131 10.709 0.899381 129.941
132 10.7911 0.899348 133.412
133 10.8731 0.922356 137.026
134 10.9552 0.916904 140.672
135 11.0372 0.918579 144.381
136 11.1193 0.9414 148.238
137 11.2014 0.933717 152.121
138 11.2834 0.933553 156.059
139 11.3655 0.945946 160.109
140 11.4476 0.950802 164.238
141 11.5296 0.959219 168.463
142 11.6117 0.95229 172.718
143 11.6937 0.966437 177.098
144 11.7758 0.968245 181.547
145 11.8579 0.97219 186.077
146 11.9399 0.964744 190.635
147 12.022 0.952042 195.195
148 12.104 0.984485 199.975
149 12.1861 0.977731 204.787
150 12.2682 0.957443 209.562
660000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
