# Time-averaged data for fix rdf_CC_avg
# TimeStep Number-of-rows
# Row c_rdf_CC[1] c_rdf_CC[2] c_rdf_CC[3]
610000 150
66 5.37502 17.2018 31.1444
67 5.45708 16.2852 32.7544
68 5.53914 16.9642 34.4822
69 5.6212 15.9944 36.16
70 5.70326 15.3248 37.8144
71 5.78532 14.9088 39.4711
72 5.86739 14.8266 41.1656
73 5.94945 13.8458 42.7922
74 6.03151 12.4485 44.2956
75 6.11357 12.69 45.87
76 6.19563 12.0333 47.4033
77 6.27769 10.9562 48.8367
78 6.35975 10.2377 50.2111
79 6.44181 9.30654 51.4933
80 6.52388 8.70673 52.7233
81 6.60594 7.92468 53.8711
82 6.688 7.69983 55.0144
83 6.77006 6.98834 56.0778
84 6.85212 6.87967 57.15
85 6.93418 6.03644 58.1133
86 7.01624 5.95608 59.0867
87 7.09831 5.63319 60.0289
88 7.18037 5.60214 60.9878
89 7.26243 5.71698 61.9889
90 7.34449 5.10733 62.9033
91 7.42655 5.57714 63.9244
92 7.50861 5.15893 64.89
93 7.59067 5.57111 65.9556
94 7.67273 5.24187 66.98
95 7.7548 5.23689 68.0256
96 7.83686 5.60279 69.1678
97 7.91892 5.67366 70.3489
98 8.00098 5.33923 71.4833
99 8.08304 5.45595 72.6667
100 8.1651 5.70874 73.93
101 8.24716 5.54051 75.1811
102 8.32923 5.48075 76.4433
103 8.41129 5.35993 77.7022
104 8.49335 5.53061 79.0267
105 8.57541 5.56712 80.3856
106 8.65747 5.27413 81.6978
107 8.73953 5.57325 83.1111
108 8.82159 5.44963 84.5189
109 8.90365 5.59899 85.9922
110 8.98572 5.77358 87.54
111 9.06778 5.47447 89.0344
112 9.14984 5.40931 90.5378
113 9.2319 5.38156 92.06
114 9.31396 5.1754 93.55
115 9.39602 5.01989 95.0211
116 9.47808 5.20085 96.5722
117 9.56015 5.03238 98.0989
118 9.64221 4.84194 99.5933
119 9.72427 4.79285 101.098
120 9.80633 4.57973 102.56
121 9.88839 4.57982 104.047
122 9.97045 4.61694 105.57
123 10.0525 4.28008 107.006
124 10.1346 4.20036 108.438
125 10.2166 4.14935 109.876
126 10.2987 4.16225 111.341
127 10.3808 3.88888 112.732
128 10.4628 3.81886 114.12
129 10.5449 3.50458 115.413
130 10.6269 3.51601 116.731
131 10.709 3.34784 118.006
132 10.7911 3.42386 119.329
133 10.8731 3.59265 120.739
134 10.9552 3.21811 122.021
135 11.0372 3.26502 123.341
136 11.1193 2.91541 124.538
137 11.2014 3.0922 125.826
138 11.2834 3.09731 127.134
139 11.3655 3.06771 128.45
140 11.4476 2.70482 129.627
141 11.5296 2.63845 130.791
142 11.6117 2.61159 131.96
143 11.6937 2.52224 133.104
144 11.7758 2.5274 134.268
145 11.8579 2.50706 135.438
146 11.9399 2.4023 136.574
147 12.022 2.2716 137.664
148 12.104 2.22338 138.746
149 12.1861 2.15217 139.807
150 12.2682 2.0433 140.828
660000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0.0892295 0.00222222
35 2.83112 0.417658 0.0133333
36 2.91318 0.670932 0.0322222
37 2.99524 2.28071 0.1
38 3.0773 4.28735 0.234444
39 3.15936 6.32164 0.443333
40 3.24142 8.52602 0.74
41 3.32348 10.9418 1.14
42 3.40555 14.2091 1.68556
43 3.48761 15.1457 2.29556
44 3.56967 16.0692 2.97333
45 3.65173 17.2132 3.73333
46 3.73379 18.85 4.60333
47 3.81585 18.5349 5.49667
48 3.89791 18.4233 6.42333
49 3.97997 19.3869 7.44
50 4.06204 19.6873 8.51556
51 4.1441 18.8562 9.58778
52 4.22616 18.6011 10.6878
53 4.30822 19.8706 11.9089
54 4.39028 20.1433 13.1944
55 4.47234 20.2057 14.5322
56 4.5544 19.4199 15.8656
57 4.63647 19.0619 17.2222
58 4.71853 19.3691 18.65
59 4.80059 19.1174 20.1089
60 4.88265 19.1701 21.6222
61 4.96471 19.4582 23.21
62 5.04677 18.0262 24.73
63 5.12883 18.2959 26.3233
64 5.21089 18.2433 27.9633
65 5.29296 17.622 29.5978
66 5.37502 17.8439 31.3044
67 5.45708 17.0658 32.9867
68 5.53914 16.2019 34.6322
69 5.6212 15.9194 36.2978
70 5.70326 15.4938 37.9667
71 5.78532 15.3307 39.6656
72 5.86739 15.2744 41.4067
73 5.94945 13.6638 43.0078
74 6.03151 13.0729 44.5822
75 6.11357 12.6893 46.1522
76 6.19563 11.4964 47.6133
77 6.27769 10.8721 49.0322
78 6.35975 9.99845 50.3711
79 6.44181 9.48749 51.6744
80 6.52388 8.62587 52.89
81 6.60594 8.60638 54.1333
82 6.688 7.70579 55.2744
83 6.77006 7.33021 56.3867
84 6.85212 6.69668 57.4278
85 6.93418 5.97344 58.3789
86 7.01624 5.67128 59.3033
87 7.09831 6.10736 60.3222
88 7.18037 5.64382 61.2856
89 7.26243 5.63828 62.27
90 7.34449 5.30623 63.2178
91 7.42655 5.34973 64.1944
92 7.50861 5.37943 65.1989
93 7.59067 5.59208 66.2656
94 7.67273 5.5065 67.3389
95 7.7548 5.20181 68.3744
96 7.83686 5.59895 69.5133
97 7.91892 5.4641 70.6478
98 8.00098 5.63429 71.8422
99 8.08304 5.71156 73.0778
100 8.1651 5.4567 74.2822
101 8.24716 5.64548 75.5533
102 8.32923 5.39457 76.7922
103 8.41129 6.01054 78.2
104 8.49335 5.53759 79.5222
105 8.57541 5.72788 80.9167
106 8.65747 5.45279 82.27
107 8.73953 5.71595 83.7156
108 8.82159 5.56336 85.1489
109 8.90365 5.67284 86.6378
110 8.98572 5.44437 88.0933
111 9.06778 5.62839 89.6256
112 9.14984 5.47579 91.1433
