# Time-averaged data for fix msd_avg
# TimeStep c_msd_water[1] c_msd_water[2] c_msd_water[3] c_msd_water[4]
1101000 411.707 427.211 446.29 1285.21
1102000 413.618 428.302 448.864 1290.78
1103000 414.076 429.019 449.803 1292.9
1104000 413.774 427.834 449.263 1290.87
1105000 415.52 430.226 451.531 1297.28
1106000 413.549 428.65 449.357 1291.56
1107000 414.039 430.22 450.512 1294.77
1108000 413.616 431.34 451.499 1296.45
1109000 413.848 431.547 453.863 1299.26
1110000 415.42 433.516 456.091 1305.03
1111000 414.938 432.982 456.74 1304.66
1112000 416.521 433.498 458.273 1308.29
1113000 417.556 433.684 459.287 1310.53
1114000 415.715 433.386 457.336 1306.44
1115000 414.374 433.494 456.251 1304.12
1116000 414.52 436.076 457.363 1307.96
1117000 417.735 437.996 458.606 1314.34
1118000 419.489 438.957 460.483 1318.93
1119000 422.465 442.351 463.408 1328.22
1120000 423.977 443.006 462.32 1329.3
1121000 423.339 443.617 462.266 1329.22
1122000 425.862 445.081 464.849 1335.79
1123000 424.149 444.391 462.667 1331.21
1124000 425.005 447.637 465.396 1338.04
1125000 424.861 448.296 466.41 1339.57
1126000 427.426 450.459 468.671 1346.56
1127000 427.318 448.066 470.096 1345.48
1128000 429.208 451.323 472.995 1353.53
1129000 429.5 452.241 473.669 1355.41
1130000 431.95 454.377 473.596 1359.92
1131000 432.86 454.3 474.903 1362.06
1132000 433.437 452.306 474.287 1360.03
1133000 432.662 450.689 474.217 1357.57
1134000 433.914 451.623 475.729 1361.27
1135000 436.353 455.869 478.696 1370.92
1136000 434.379 456.043 479.195 1369.62
1137000 436.039 457.54 480.474 1374.05
1138000 438.379 458.594 483.134 1380.11
1139000 440.582 458.03 483.429 1382.04
1140000 442.046 458.839 483.267 1384.15
1141000 441.228 459.735 483.596 1384.56
1142000 441.589 462.491 485.62 1389.7
1143000 443.219 461.527 488.432 1393.18
1144000 442.802 460.821 487.079 1390.7
1145000 443.833 462.744 488.921 1395.5
1146000 443.755 463.78 490.069 1397.6
1147000 445.957 468.576 493.366 1407.9
1148000 445.922 469.141 493.963 1409.03
1149000 446.367 468.112 494.277 1408.76
1150000 449.05 469.931 496.852 1415.83
1151000 449.381 471.037 497.563 1417.98
1152000 449.25 469.337 496.639 1415.23
1153000 449.556 470.187 497.364 1417.11
1154000 452.343 471.659 499.546 1423.55
1155000 455.184 473.689 502.96 1431.83
1156000 456.451 474.398 505.414 1436.26
1157000 452.599 471.26 502.692 1426.55
1158000 453.433 473.099 502.871 1429.4
1159000 455.751 475.538 504.96 1436.25
1160000 456.025 477.462 507.08 1440.57
1161000 454.378 476.194 507.552 1438.12
1162000 452.703 474.406 508.243 1435.35
1163000 455.673 475.964 509.395 1441.03
1164000 456.884 477.65 509.842 1444.38
1165000 461.226 479.432 512.145 1452.8
1166000 461.469 479.216 513.004 1453.69
1167000 461.348 481.44 511.775 1454.56
1168000 459.345 481.632 512.611 1453.59
1169000 458.872 480.791 511.83 1451.49
1170000 459.615 481.804 513.861 1455.28
1171000 459.951 481.853 513.768 1455.57
1172000 460.676 482.227 514.296 1457.2
1173000 460.597 483.815 513.629 1458.04
1174000 466.091 489.12 518.572 1473.78
1175000 466.663 489.89 520.315 1476.87
1176000 465.442 488.371 520.799 1474.61
1177000 466.892 489.089 522.783 1478.76
1178000 470.394 489.751 525.547 1485.69
1179000 469.244 488.138 523.656 1481.04
1180000 472.092 492.228 526.207 1490.53
1181000 473.802 493.681 526.935 1494.42
1182000 475.603 495.904 528.369 1499.88
1183000 477.669 496.047 528.039 1501.75
1184000 476.386 494.684 526.183 1497.25
1185000 477.157 496.829 526.107 1500.09
1186000 477.49 497.183 527.538 1502.21
1187000 476.348 495.931 526.684 1498.96
1188000 477.951 497.302 528.416 1503.67
1189000 481.689 500.313 533.147 1515.15
1190000 483.769 501.277 535.798 1520.84
1191000 483.663 502.971 535.012 1521.65
1192000 483.347 503.1 534.402 1520.85
1193000 484.427 504.692 534.753 1523.87
1194000 485.48 505.332 535.745 1526.56
1195000 483.294 504.236 536.652 1524.18
1196000 487.012 509.193 539.116 1535.32
1197000 484.237 507.169 536.253 1527.66
1198000 488.905 511.248 542.155 1542.31
1199000 491.562 515.314 544.258 1551.13
